#Wavelength(nm)	Reflectivity	Stddev-of-measurements
755	0.8698	0.0016
750	0.8719	0.0018
745	0.8734	0.0016
740	0.8746	0.0016
735	0.8765	0.0014
730	0.8771	0.0012
725	0.8782	0.0012
720	0.8795	0.0014
715	0.8807	0.0015
710	0.8820	0.0015
705	0.8832	0.0015
700	0.8845	0.0013
695	0.8856	0.0012
690	0.8869	0.0011
685	0.8879	0.0013
680	0.8888	0.0014
675	0.8896	0.0013
670	0.8906	0.0014
665	0.8915	0.0013
660	0.8922	0.0013
655	0.8930	0.0013
650	0.8942	0.0014
645	0.8948	0.0014
640	0.8956	0.0014
635	0.8963	0.0014
630	0.8971	0.0014
625	0.8977	0.0014
620	0.8982	0.0014
615	0.8990	0.0014
610	0.8993	0.0014
605	0.8997	0.0013
600	0.9003	0.0014
595	0.9006	0.0015
590	0.9014	0.0015
585	0.9018	0.0014
580	0.9024	0.0014
575	0.9026	0.0014
570	0.9031	0.0014
565	0.9034	0.0014
560	0.9039	0.0014
555	0.9043	0.0015
550	0.9047	0.0017
545	0.9054	0.0016
540	0.9054	0.0016
535	0.9058	0.0016
530	0.9061	0.0016
525	0.9062	0.0016
520	0.9067	0.0017
515	0.9070	0.0017
510	0.9070	0.0018
505	0.9071	0.0019
500	0.9072	0.0019
495	0.9074	0.0019
490	0.9078	0.0019
485	0.9084	0.0019
480	0.9087	0.0019
475	0.9093	0.0020
470	0.9093	0.0019
465	0.9093	0.0020
460	0.9092	0.0021
455	0.9096	0.0023
450	0.9096	0.0023
445	0.9098	0.0023
440	0.9099	0.0024
435	0.9099	0.0023
430	0.9098	0.0022
425	0.9094	0.0024
420	0.9091	0.0025
415	0.9098	0.0024
410	0.9100	0.0025
405	0.9101	0.0029
400	0.9104	0.0029
395	0.9099	0.0033
390	0.9085	0.0030
385	0.9089	0.0034
380	0.9079	0.0034
375	0.9085	0.0035
370	0.9077	0.0036
365	0.9077	0.0036
360	0.9086	0.0039
355	0.9081	0.0040
350	0.9067	0.0041
345	0.9048	0.0042
340	0.9034	0.0044
335	0.9030	0.0051
330	0.9037	0.0053
325	0.9040	0.0057
320	0.9028	0.0056
315	0.9020	0.0060
310	0.8992	0.0061
305	0.8976	0.0063
300	0.8940	0.0069
